ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,ai_verdict,ai_confidence,ai_reasoning,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing
RMV.L,RIGHTMOVE PLC ORD 0.1P,57.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,100.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 51.1},{},"{'rs_3m': np.float64(-7.0), 'rs_6m': np.float64(-33.2)}","{'roe_pct': 266.1, 'debt_to_equity': 0.09, 'current_ratio': 1.89, 'operating_margin_pct': 66.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 29.1}",440.6,3290521344,Communication Services,Internet Content & Information,,,False,827.0,-46.7,1,False,568.87,765.0,420.0,15.0,hold,29.1,666.0,51.2,470.0,6.7,5.84,0.26,2.41,36.2,0.11,1.46,,,,6.7,60,2026-07-24,False,False,6,NEUTRAL,8.76,637.5,0.78,32.9,,,,2026-05-25T09:33:50.837879,FTSE100,54.8,6.0,5.0,0.0,3.0,3.64,3.0,0.0,CONFIRMED_UPTREND,BUY,90,"Strong fundamentals with high ROE and margin, low debt, and analyst validation with 15 analysts",431.79,397.24,698.66,8.0,61.81,BUY ON PULLBACK - Wait for 2-5% dip
AMS.MC,"AMADEUS IT GROUP, S.A.",58.4,⭐ AVERAGE,🟡 Average,65.0,60.0,34.5,70.0,65.0,,,,,-4.1,True,1,3.4,True,1,"{'eps_growth_yoy': np.float64(-4.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': np.float64(3.4), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(2.4), 'rs_6m': np.float64(-28.7)}","{'roe_pct': 26.0, 'debt_to_equity': 0.7, 'current_ratio': 0.77, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.8}",52.86,22802022400,Technology,Information Technology Services,,,False,75.38,-29.9,1,False,67.55,80.0,52.0,22.0,buy,27.8,40.35,-23.7,30.5,-42.3,4.74,2.51,2.99,46.6,1.54,1.73,True,-7.23,21.7,5.1,67,2026-07-31,False,False,7,NEUTRAL,7.37,473.7,2.69,26.9,,,,2026-05-25T09:32:43.243172,IBEX35,55.4,3.0,5.0,3.0,3.0,3.48,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong ROE, reasonable debt, and analyst validation with 22 analysts, despite unknown margin",51.76,47.62,72.62,8.0,40.3,BUY NOW - At target entry price
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': np.float64(-8.8), 'rs_6m': np.float64(-34.9)}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 24.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 51.7}",2591.0,23168299008,Industrials,Consulting Services,,,False,4101.0,-36.8,0,False,3929.76,4745.73,2341.41,18.0,strong_buy,51.7,3330.0,28.5,2818.0,8.8,3.9,1.01,2.0,39.8,0.52,1.36,,,,23.1,170,2026-11-11,False,False,5,NEUTRAL,6.04,493.1,0.65,30.3,,,,2026-05-25T09:33:02.500442,FTSE100,66.7,3.0,5.0,0.0,5.0,6.46,3.0,15.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with ROE of 28.3%, margin of 17.8%, and debt/equity ratio of 1.0, combined with analyst validation and a realistic upside of 51.7%",2555.1,2454.9,3773.52,3.92,47.69,BUY NOW - At target entry price
SAP.DE,SAP SE                        I,65.2,⭐⭐ GOOD,🟡 Good,90.0,50.0,30.0,85.0,70.0,,,,,13.8,True,1,5.8,False,0,"{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6}","{'revenue_growth_yoy': np.float64(5.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-15.9), 'rs_6m': np.float64(-39.1)}","{'roe_pct': 16.4, 'debt_to_equity': 0.17, 'current_ratio': 1.07, 'operating_margin_pct': 30.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 40.2}",153.24,178916753408,Technology,Software - Application,,,False,273.55,-44.0,1,False,214.81,290.0,154.99,26.0,strong_buy,40.2,133.62,-12.8,62.4,-59.3,4.55,6.98,1.65,37.7,2.5,1.45,True,-2.29,21.9,9.3,59,2026-07-23,False,False,8,STRONG,6.16,146.7,1.92,40.8,,,,2026-05-25T09:33:14.198898,DAX40,55.1,3.0,5.0,3.0,3.0,5.03,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong ROE, low debt, and significant upside potential with validation from multiple analysts",150.0,138.0,234.68,8.0,56.45,BUY ON PULLBACK - Wait for 2-5% dip
NOVO-B.CO,Novo Nordisk B A/S,74.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,30.0,70.0,50.0,,,,,83.2,True,2,26.0,True,2,"{'eps_growth_yoy': np.float64(83.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.2}","{'revenue_growth_yoy': np.float64(26.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-12.3), 'rs_6m': np.float64(-21.1)}","{'roe_pct': 71.4, 'debt_to_equity': 0.72, 'current_ratio': 0.79, 'operating_margin_pct': 61.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 7.1}",289.0,1280794689536,Healthcare,Drug Manufacturers - General,,,False,533.4,-45.8,1,False,309.51,444.0,200.0,23.0,hold,7.1,,,822.0,184.4,-0.94,-3.59,5.5,42.7,15.9,1.78,True,-0.19,39.5,26.8,72,2026-08-05,False,False,5,NEUTRAL,9.57,64.7,0.2,40.9,,,,2026-05-25T09:32:14.636813,OMXCPH,52.6,-5.0,8.0,3.0,5.0,0.89,-3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and moderate debt, upside potential is realistic and validated by multiple analysts",283.22,260.56,443.89,8.0,56.73,BUY ON PULLBACK - Wait for 2-5% dip
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,56.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,90.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': np.float64(-14.3), 'rs_6m': np.float64(-45.8)}","{'roe_pct': 60.2, 'debt_to_equity': 0.51, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 34.4}",454.4,3689352192,Communication Services,Internet Content & Information,,,False,920.0,-50.6,0,False,610.94,890.0,410.0,16.0,hold,34.4,493.0,8.5,340.0,-25.2,6.74,0.31,2.55,32.0,0.12,0.99,,,,2.0,164,2026-11-05,False,False,8,STRONG,9.61,668.8,2.04,39.3,,,,2026-05-25T09:33:05.059131,FTSE100,52.4,6.0,5.0,0.0,1.0,4.3,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, moderate debt, and significant analyst upside validation",452.27,434.53,750.08,3.92,65.85,BUY NOW - At target entry price
G24.DE,Scout24 SE                    N,67.8,⭐⭐ GOOD,🟡 Good,95.0,60.0,30.0,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': np.float64(37.0), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': np.float64(14.0), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-5.8), 'rs_6m': np.float64(-32.3)}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 43.7}",71.75,5073835520,Communication Services,Internet Content & Information,,,False,122.8,-41.6,1,False,103.12,135.0,81.0,16.0,strong_buy,43.7,,,108.3,50.9,,,2.08,36.6,1.5,1.52,,,44.1,40.6,73,2026-08-06,False,False,6,NEUTRAL,5.23,635.9,0.38,42.8,,,,2026-05-25T09:33:11.242190,DAX40,52.1,0.0,5.0,0.0,5.0,5.46,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with ROE > 10%, debt < 2x, and analyst validation with 16 analysts",70.27,65.81,108.52,6.35,54.45,BUY ON PULLBACK - Wait for 2-5% dip
PGHN.SW,PARTNERS GROUP N,60.2,⭐⭐ GOOD,🟡 Good,60.0,50.0,50.0,85.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': np.float64(-9.4), 'rs_6m': np.float64(-19.9)}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 34.6}",858.8,22142556160,Financial Services,Asset Management,,,False,1158.0,-25.8,1,False,1155.83,1300.0,930.0,12.0,buy,34.6,1070.36,24.6,532.84,-38.0,6.07,52.13,5.36,86.7,46.0,3.34,,,,7.7,99,2026-09-01,False,False,7,NEUTRAL,6.49,75.9,1.33,22.0,,,,2026-05-25T09:32:23.410874,SMI20,51.1,6.0,0.0,0.0,3.0,4.32,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, reasonable debt, and analyst validation with a realistic upside",841.62,774.29,1136.17,8.0,35.0,BUY ON PULLBACK - Wait for 2-5% dip
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,49.0,⚠️ WEAK,🔴 Weak,55.0,50.0,30.0,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': np.float64(-1.5), 'rs_6m': np.float64(-33.9)}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 25.6}",878.8,7934848512,Technology,Software - Application,,,False,1335.0,-34.2,1,False,1104.16,1334.0,850.0,19.0,buy,25.6,1641.0,86.7,572.0,-34.9,7.97,0.7,2.55,55.0,0.22,2.1,,,,14.3,178,2026-11-19,False,False,6,NEUTRAL,5.59,374.3,1.07,28.9,,,,2026-05-25T09:33:53.610880,FTSE100,48.6,6.0,5.0,0.0,3.0,3.2,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, upside potential of 25.6% supported by 19 analysts",861.22,816.93,1255.21,5.14,45.75,BUY NOW - At target entry price
DB1.DE,DEUTSCHE BOERSE AG            N,71.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,50.0,60.5,80.0,60.0,,,,,11.4,True,1,8.5,False,0,"{'eps_growth_yoy': np.float64(11.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': np.float64(8.5), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(8.9), 'rs_6m': np.float64(8.2)}","{'roe_pct': 19.2, 'debt_to_equity': 0.65, 'current_ratio': 1.01, 'operating_margin_pct': 43.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.4}",254.0,46254907392,Financial Services,Financial Data & Stock Exchanges,,,False,291.8,-13.0,4,False,287.92,320.0,240.0,13.0,buy,13.4,,,136.76,-46.2,,,1.64,35.7,4.2,1.88,,,,12.2,58,2026-07-22,False,False,5,NEUTRAL,5.94,66.8,1.57,25.1,,,,2026-05-25T09:32:02.971879,DAX40,48.4,0.0,5.0,0.0,3.0,1.68,0.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong ROE, reasonable debt-to-equity ratio, and analyst validation with a realistic upside",249.02,233.68,319.31,6.16,28.23,BUY ON PULLBACK - Wait for 2-5% dip
