ticker,super_score_4d,tier,vcp_score,insiders_score,sector_score,institutional_score,num_whales,top_whales,next_earnings,days_to_earnings,sector_name,sector_momentum,tier_boost,dj_ticker,current_price,price_target,upside_percent,analyst_target,analyst_upside,num_analysts,fundamental_score,pe_ratio,peg_ratio,fcf_yield,roe,revenue_growth,entry_score,entry_bonus,super_score_5d
INTC,59.1,⭐ BUENA,88.575,90,77.81,0.0,0,,2026-04-23,74.0,Technology,improving,3,DJUSTC,46.79,49.29,5.35,47.11829,0.7016242786920257,41,20.0,,,-1.927269893334967,0.00022,-0.041,80.0,5,67.1
NCLH,61.9,⭐ BUENA,89.56818181818181,100,50.0,0.0,0,,,,,stable,0,,21.49,25.45,18.4,27.25,26.803164262447666,22,20.0,15.460432,,-13.458381266090466,0.39870998,0.047,10.0,0,61.9
CVS,54.9,🔵 MODERADA,74.78571428571429,90,49.96,0.0,0,,2026-02-10,2.0,Healthcare,improving,0,DJUSHC,78.48,92.3,17.61,94.84,20.846075433231405,25,25.0,56.460434,,5.938816420277124,0.022869999,0.084,80.0,5,59.9
BA,54.6,🔵 MODERADA,90.20588235294116,70,58.83,0.0,0,,2026-04-22,73.0,Industrials,stable,0,DJUSIG,242.96,269.44,10.9,271.625,11.798238393151127,24,40.0,97.96774,,0.923310676325383,2.90084,0.571,100.0,5,59.6
BEN,54.4,🔵 MODERADA,89.56521739130434,70,64.96,0.0,0,,2026-01-30,-9.0,Financial Services,declining,0,DJUSFI,27.03,22.12,-18.17,27.36364,1.2343322234554144,11,30.0,25.027777,,2.3297599808499396,0.04464,0.034,90.0,5,59.4
CRM,54.9,🔵 MODERADA,66.33333333333334,100,77.81,0.0,0,,2026-02-25,17.0,Technology,improving,3,DJUSTC,189.72,282.47,48.89,325.7951,71.72417246468478,53,45.0,25.329775,,8.041344975448508,0.12184,0.086,0.0,0,57.9
WRB,56.4,⭐ BUENA,71.375,100,64.96,0.0,0,,2026-04-20,71.0,Financial Services,declining,0,DJUSFI,69.7,72.5,4.02,68.33333,-1.9607890961262586,15,41.67,15.662921,,,0.19600001,0.015,55.0,1,57.4
OXY,54.2,🔵 MODERADA,88.97619047619048,70,50.11,0.0,0,,2026-02-18,10.0,Energy,improving,0,DJUSEN,46.07,48.66,5.63,48.4984,5.271109181680034,25,20.0,33.875,,6.6825638070998,0.05955,-0.077,50.0,1,55.2
CAT,49.6,🔵 MODERADA,90.40625,50,58.83,0.0,0,,2026-04-30,81.0,Industrials,stable,0,DJUSIG,774.2,569.77,-26.41,692.3204,-10.576026866442788,26,35.0,41.15896,,1.609817629622134,0.43526,0.18,100.0,5,54.6
APTV,49.4,🔵 MODERADA,89.65789473684211,50,68.9,0.0,0,,2026-04-30,81.0,Consumer Cyclical,declining,0,DJUSGT,85.2,97.06,13.92,101.25,18.838028169014077,16,25.0,113.6,,7.065466511577563,0.01948,0.05,90.0,5,54.4
IEX,49.4,🔵 MODERADA,72.89473684210526,70,58.83,0.0,0,,2026-04-30,81.0,Industrials,stable,0,DJUSIG,210.41,179.86,-14.52,223.53847,6.239470557482996,13,40.0,32.774143,,3.540294245219109,0.1234,0.042,80.0,5,54.4
