ticker,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
AAL.L,12,12,7,2025-12-15,2025-12-22,100,MUY ALTA,FTSE100
BA.L,48,14,83,2025-12-03,2026-02-24,100,MUY ALTA,FTSE100
BARC.L,12,12,7,2026-02-11,2026-02-18,100,MUY ALTA,FTSE100
BATS.L,44,15,72,2025-12-03,2026-02-13,100,MUY ALTA,FTSE100
BP.L,8,3,62,2025-12-10,2026-02-10,100,MUY ALTA,FTSE100
BT-A.L,9,8,69,2025-12-04,2026-02-11,100,MUY ALTA,FTSE100
CBK.DE,7,7,0,2026-02-11,2026-02-11,100,MUY ALTA,DAX40
DGE.L,33,13,75,2025-12-04,2026-02-17,100,MUY ALTA,FTSE100
EXPN.L,4,3,11,2026-01-26,2026-02-06,100,MUY ALTA,FTSE100
G24.DE,5,4,35,2025-12-03,2026-01-07,100,MUY ALTA,DAX40
GLEN.L,37,13,8,2026-01-28,2026-02-05,100,MUY ALTA,FTSE100
GSK.L,53,16,73,2025-12-09,2026-02-20,100,MUY ALTA,FTSE100
LAND.L,7,3,62,2025-12-04,2026-02-04,100,MUY ALTA,FTSE100
NG.L,8,3,63,2025-12-08,2026-02-09,100,MUY ALTA,FTSE100
MNDI.L,6,2,63,2025-12-05,2026-02-06,100,MUY ALTA,FTSE100
LLOY.L,19,8,62,2025-12-09,2026-02-09,100,MUY ALTA,FTSE100
RIO.L,38,13,7,2026-01-29,2026-02-05,100,MUY ALTA,FTSE100
RHM.DE,7,6,57,2025-12-10,2026-02-05,100,MUY ALTA,DAX40
PRU.L,19,7,62,2025-12-10,2026-02-10,100,MUY ALTA,FTSE100
NWG.L,9,8,28,2025-12-05,2026-01-02,100,MUY ALTA,FTSE100
WTB.L,5,5,75,2025-12-05,2026-02-18,100,MUY ALTA,FTSE100
TSCO.L,20,7,56,2025-12-19,2026-02-13,100,MUY ALTA,FTSE100
ULVR.L,13,9,0,2025-12-10,2025-12-10,100,MUY ALTA,FTSE100
UNA.AS,13,9,0,2025-12-10,2025-12-10,100,MUY ALTA,AEX25
RR.L,18,5,63,2025-12-08,2026-02-09,100,MUY ALTA,FTSE100
SGE.L,17,12,15,2026-02-02,2026-02-17,100,MUY ALTA,FTSE100
SHEL.L,12,9,0,2025-12-22,2025-12-22,100,MUY ALTA,FTSE100
SSE.L,30,9,63,2025-12-05,2026-02-06,100,MUY ALTA,FTSE100
VOD.L,4,4,5,2026-02-05,2026-02-10,100,MUY ALTA,FTSE100
SIE.DE,4,1,0,2025-12-10,2025-12-10,90,MUY ALTA,DAX40
MUV2.DE,3,3,46,2026-01-12,2026-02-27,90,MUY ALTA,DAX40
IMB.L,3,3,0,2026-01-06,2026-01-06,90,MUY ALTA,FTSE100
SAP.DE,2,2,1,2026-01-29,2026-01-30,60,MUY ALTA,DAX40
HSBA.L,2,2,0,2025-12-18,2025-12-18,60,MUY ALTA,FTSE100
WPP.L,2,2,0,2026-02-26,2026-02-26,60,MUY ALTA,FTSE100
HEIG.DE,2,1,1,2026-02-25,2026-02-26,50,ALTA,DAX40
