ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
0700.HK,Tencent Holdings Limited,465.8,HKD,82.0,A,82.0,ROE 20.5% | Potencial +52% analistas | Margen 31% | Dividendo 1.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,710.32,52.5,42,3.1,6.56,1.1,,20.5,12.1,16.6,30.6,9.1,-31.8,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,Forward P/E seems low compared to the sector average and the company's historical performance,2026-06-03,0,
2020.HK,ANTA Sports Products Limited,75.05,HKD,82.0,A,82.0,ROE 22.5% | Potencial +40% analistas | FCF yield 6.7% | Dividendo 2.8% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.79,39.6,30,6.7,4.95,2.82,,22.5,11.7,13.5,16.9,12.4,-29.4,cyclical risk | geopolitical risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overestimation of future earnings.",2026-06-03,0,
9999.HK,"NetEase, Inc.",194.5,HKD,81.0,A,81.0,ROE 22.1% | Potencial +29% | FCF yield 5.5% | Margen 30% | Dividendo 2.3% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.03,28.5,22,5.5,3.57,2.28,,22.1,11.8,15.9,29.8,6.1,-21.6,Regulatory Risk | Geopolitical Risk,NTES,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overestimation of future earnings.",2026-06-03,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",16.28,BRL,74.0,A,74.0,ROE 26.7% | Potencial +23% | Crecimiento ingresos +20% | Margen 47% | Dividendo 3.7% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,20.04,23.1,14,,2.88,3.72,,26.7,12.5,17.7,47.0,20.3,-19.9,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-06-03,0,
RENT3.SA,Localiza Rent a Car S.A.,41.83,BRL,71.0,A,71.0,P/E 8.4x | Potencial +41% analistas | FCF yield 22.6% | Crecimiento ingresos +21% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,59.06,41.2,15,22.6,5.15,4.99,,8.5,8.4,20.2,5.1,21.2,-21.6,cyclical risk | geopolitical risk,,SUSPECT,High FCF yield and low forward P/E raise concerns about data quality or potential overvaluation,2026-06-03,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,409.2,HKD,70.0,A,70.0,ROE 35.0% | Potencial +27% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,518.47,26.7,17,,3.34,3.18,,35.0,26.3,27.5,62.6,19.0,-12.2,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Geopolitical Risk | Real Estate Exposure,,SUSPECT,High ROE and profit margin may indicate potential overvaluation or accounting discrepancies,2026-06-03,0,
TOTS3.SA,TOTVS S.A.,34.41,BRL,67.0,A,67.0,ROE 16.9% | Potencial +51% analistas | Crecimiento ingresos +22% | Dividendo 1.9% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,52.0,51.1,12,1.9,6.39,1.89,,16.9,15.1,23.4,15.2,22.4,-28.9,Geopolitical Risk | Cyclical Risk,,SUSPECT,"High analyst upside of 51.1% seems inconsistent with the fundamentals, particularly the forward P/E of 15.1x.",2026-06-03,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",57.75,HKD,64.0,B,64.0,P/E 5.3x (vs 11x mercado) | Potencial +44% analistas | Dividendo 5.2% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,83.06,43.8,16,,5.48,5.17,,11.3,5.3,6.9,13.9,-3.3,-22.7,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Hong Kong | Exposure to Chinese real estate market | Geopolitical risks,PNGAY,RISKY,Negative revenue growth and potential exposure to Chinese real estate sector pose significant risks,2026-06-03,0,
4568.T,"Daiichi Sankyo Company, Limited",2517.0,JPY,64.0,B,64.0,ROE 15.8% | Potencial +73% analistas | FCF negativo | Dividendo 3.9% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4352.35,72.9,17,-4.9,9.11,3.87,,15.8,17.5,17.9,12.2,13.7,-39.8,Negative FCF Yield | Potential Cash Flow Risk,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-06-03,0,
005930.KS,"Samsung Electronics Co., Ltd.",360500.0,KRW,63.0,B,63.0,ROE 18.9% | P/E 6.5x (vs 11x mercado) | Potencial +10% | Crecimiento ingresos +69% | Margen 21%,2,0,Technology,Korea,🇰🇷,21.2,397803.22,10.3,37,2.9,1.29,,,18.9,6.5,,21.5,69.2,-2.6,Regulatory risks in technology sector | Geopolitical risks due to global market exposure,SSNLF,SUSPECT,Trailing P/E is reported as non-existent which is unusual for a well-established company like Samsung Electronics,2026-06-03,0,
